ID,Kịch bản/Màn hình,Loại (Bug/Usability),Mô tả,Bước tái hiện / Heuristic vi phạm,Mức nghiêm trọng (0-4),Đề xuất sửa,Tham chiếu ảnh,Thời điểm gửi Google Form
1,A1: Danh sách Events,Bug,"Khi truy cập mobile, sidebar chính và sidebar overlay chồng lên nhau (hiển thị đúp), giao diện vỡ layout.",IA01-08,High,"Ẩn sidebar chính khi vào mobile, chỉ hiển thị hamburger menu.",A1_mobile.jpg,2026-08-03 21:57
2,A1: Danh sách Events,Usability,Nhiều cột trên bảng gây data overload,IA01-13,Medium,"Loại bỏ/ẩn cột trên màn hình admin, hoặc chuyển sang tab ""Thống kê"".","A1_default.png, A1_table_list_events_01/02/03.png",03/08/2026 22:03:00
3,A1: Danh sách Events,Usability,Không có nút Export (Excel/CSV) để xuất dữ liệu báo cáo thống kê.,IA01-15,Medium,"Bổ sung nút ""Xuất Excel"" / ""Xuất CSV"" cạnh nút ""+ Tạo sự kiện"".",A1_default.png...,2026-08-04 00:00:00
4,A1: Danh sách Events,Usability,"Search box, Filter Dropdown, Pagination thiếu label riêng.",IA02-01,Medium,Nên thêm Floating Labels cho các input này.,"A1_label_search.png, A1_label_pagination.png",2026-08-04 00:26:00
5,A1: Danh sách Events,Bug,"Tìm từ khóa ""kien"" trả về cả kết quả không chứa từ ""kien"" ở tiêu đề hiện tại (nghi vấn data cũ).",IA03-06,High,"Kiểm tra logic search backend, có thể cần reindex khi update sự kiện.","A1_search_01.png, A1_search_02.png",2026-08-04 00:27:00
6,A1: Danh sách Events,Usability,"Lọc 0 kết quả thì thông báo nằm tuốt ở giữa, không thân thiện; thiếu nút xóa bộ lọc inline.",IA03-08,Medium,"Dời thông báo lên đầu (banner), bổ sung nút ""Xóa bộ lọc"" inline.","A1_filter_Draft.png, A1_filter_combine.png",2026-08-04 00:30:00
7,A1: Danh sách Events,Bug,URL không thay đổi khi filter nên không hỗ trợ Deep Linking (không share/bookmark được trạng thái).,IA03-07,High,Dùng query string sync trạng thái filter vào URL (vd: ?status=draft).,A1_filter_url.png,2026-08-04 00:30:00
8,A2: Modal Chỉnh sửa,Usability,"Dấu * báo trường bắt buộc sử dụng màu đen thay vì màu đỏ, khó phân biệt.",IA02-02,Medium,"Đổi màu dấu * thành đỏ, đảm bảo tính đồng nhất.",A2_attachments_basicInfomation.png...,2026-08-04 00:32:00
9,A2: Modal Chỉnh sửa,Usability,"Vùng upload Ảnh đại diện và Ảnh bìa thiếu thông số kỹ thuật cụ thể (KT, dung lượng, file type).",IA02-08,Medium,"Bổ sung text hướng dẫn rõ ràng (ví dụ: kích thước px, tối đa MB).",A2_thumbnail_banner.png...,2026-08-04 00:34:00
10,A2: Modal Chỉnh sửa,Bug,Lỗi layout responsive: sidebar chính và overlay chồng lên nhau khi hiển thị trên mobile.,IA01-08,High,"Ẩn sidebar chính ở mobile, dùng hamburger menu.",A2_addEvent_mobile.jpg,2026-08-04 00:37:00
11,A2: Modal Chỉnh sửa,Usability,"Không thể nhấn phím Enter để Submit form, bắt buộc phải dùng chuột click nút Đăng.",IA02-04,High,Thêm handler bắt sự kiện keydown phím Enter trên form.,N/A,2026-08-04 00:37:00
12,A3: Panel Registration,Usability,Input Vai trò phụ và Max slots thiếu label rõ ràng và text hướng dẫn định dạng phân cách.,IA02-01,Low,Bổ sung text hướng dẫn format (vd: phân cách bằng dấu phẩy).,"A3_default.png, A3_student_roles.png",2026-08-04 00:39:00
